gene,auroc_dD_cos,n_pos,n_neg,n,auroc_ensemble,auroc_evo2_loglik
APC,0.879722448979592,350,350,700,0.8963020408163265,0.8131020408163265
ATM,0.8509795918367348,350,350,700,0.8434285714285715,0.7093551020408163
BRAF,0.97,70,160,230,0.9775,0.9733928571428572
BRCA1,0.7653795918367348,350,350,700,0.7948244897959185,0.6949306122448979
BRCA2,0.7764816326530611,350,350,700,0.8029142857142857,0.6525714285714286
EGFR,,0,350,350,,
KRAS,0.8392494929006085,34,58,92,0.8864097363083164,0.8554766734279918
MLH1,0.7791183673469388,350,350,700,0.7931102040816326,0.7180326530612244
MSH2,0.878195918367347,350,350,700,0.8968244897959184,0.7929387755102042
PALB2,0.7804419321685507,278,350,628,0.809321685508736,0.6979445015416239
PIK3CA,0.9393070489844684,45,186,231,0.9851851851851853,0.9623655913978495
PTEN,0.8721994134897362,341,350,691,0.8946124842899036,0.8520821114369502
RB1,0.7873404255319149,188,350,538,0.8059726443768996,0.7174164133738602
TP53,0.8636528028933093,316,350,666,0.8966184448462929,0.8729566003616637
VHL,0.8257335680751174,142,240,382,0.8350645539906103,0.7859154929577465
