condition,layer,m2_jsd,m2_cos,D_jsd_mean,D_cos_mean
untied,1,1.0,1.0,0.028511468321084976,0.8211424946784973
untied,2,0.5650508757297749,0.5049808173477899,0.026013262569904327,0.813779354095459
untied,3,0.8449591326105088,0.9452493744787323,0.011574549600481987,0.7160646915435791
untied,4,0.7426105087572977,0.9215246038365305,0.006899724714457989,0.643940806388855
untied,5,0.6333744787322769,0.9700100083402836,0.005376326385885477,0.556435227394104
untied,6,0.6323369474562135,0.9875496246872394,0.0040141139179468155,0.44327816367149353
untied,7,0.11950458715596331,0.46286572143452875,0.010534556582570076,0.44511932134628296
untied,8,1.0,1.0,0.0,0.0
tied,1,1.0,1.0,0.028511468321084976,0.8211424946784973
tied,2,0.5650508757297749,0.5049808173477899,0.026013262569904327,0.813779354095459
tied,3,0.8449591326105088,0.9452493744787323,0.011574549600481987,0.7160646915435791
tied,4,0.7426105087572977,0.9215246038365305,0.006899724714457989,0.643940806388855
tied,5,0.6333744787322769,0.9700100083402836,0.005376326385885477,0.556435227394104
tied,6,0.6323369474562135,0.9875496246872394,0.0040141139179468155,0.44327816367149353
tied,7,0.11950458715596331,0.46286572143452875,0.010534556582570076,0.44511932134628296
tied,8,1.0,1.0,0.0,0.0
shuffled_rows,1,1.0,1.0,0.02409646101295948,0.8211424946784973
shuffled_rows,2,0.5597748123436197,0.5049808173477899,0.022718127816915512,0.813779354095459
shuffled_rows,3,0.8228507089241034,0.9452493744787323,0.010132874362170696,0.7160646915435791
shuffled_rows,4,0.7357781484570476,0.9215246038365305,0.005731456913053989,0.643940806388855
shuffled_rows,5,0.5906472060050042,0.9700100083402836,0.004835723899304867,0.556435227394104
shuffled_rows,6,0.5938482068390325,0.9875496246872394,0.003824003040790558,0.44327816367149353
shuffled_rows,7,0.12292243536280234,0.46286572143452875,0.01028295885771513,0.44511932134628296
shuffled_rows,8,1.0,1.0,0.0,0.0
scaled_random,1,1.0,1.0,0.06408944725990295,0.8211424946784973
scaled_random,2,0.6012260216847373,0.5049808173477899,0.05945008620619774,0.813779354095459
scaled_random,3,0.7751292743953294,0.9452493744787323,0.04303499311208725,0.7160646915435791
scaled_random,4,0.5191326105087573,0.9215246038365305,0.0415760800242424,0.643940806388855
scaled_random,5,0.582837364470392,0.9700100083402836,0.03849460929632187,0.556435227394104
scaled_random,6,0.47812176814011675,0.9875496246872394,0.03875138983130455,0.44327816367149353
scaled_random,7,0.6601984987489574,0.46286572143452875,0.03319896385073662,0.44511932134628296
scaled_random,8,1.0,1.0,0.0,0.0
random,1,1.0,1.0,0.0364227369427681,0.8211424946784973
random,2,0.4928573811509591,0.5049808173477899,0.03608923405408859,0.813779354095459
random,3,0.436442035029191,0.9452493744787323,0.03922807797789574,0.7160646915435791
random,4,0.49768974145120937,0.9215246038365305,0.039434295147657394,0.643940806388855
random,5,0.7134745621351126,0.9700100083402836,0.030462907627224922,0.556435227394104
random,6,0.3577364470391993,0.9875496246872394,0.035529617220163345,0.44327816367149353
random,7,0.5653060884070058,0.46286572143452875,0.033092185854911804,0.44511932134628296
random,8,1.0,1.0,0.0,0.0
