panel,metric,layer,rate_or_value,passes_perlayer_thresh
D1,M2_post,1,1.0,True
D1,M2_post,2,0.5066121768140117,False
D1,M2_post,3,0.8943753127606339,True
D1,M2_post,4,0.9169808173477898,True
D1,M2_post,5,0.9669457881567973,True
D1,M2_post,6,0.9862218515429525,True
D1,M2_post,7,0.4427789824854045,False
D1,M2_post,8,1.0,True
D1,M2_pre,1,1.0,True
D1,M2_pre,2,0.5069924937447873,False
D1,M2_pre,3,0.8989624687239366,True
D1,M2_pre,4,0.9183152627189325,True
D1,M2_pre,5,0.9686638865721434,True
D1,M2_pre,6,0.9878899082568807,True
D1,M2_pre,7,0.46584487072560465,False
D2,rel_residual_norm,2,1.0152926445007324,
D2,rel_residual_norm,3,1.0406770706176758,
D2,rel_residual_norm,4,0.8680554628372192,
D2,rel_residual_norm,5,0.8159647583961487,
D2,rel_residual_norm,6,0.8569879531860352,
D2,rel_residual_norm,7,0.9536033272743225,
D2,rel_residual_norm,8,2.9405441284179688,
D1_summary,M2_post_L7,7,0.4427789824854045,
D1_summary,M2_pre_L7,7,0.46584487072560465,
D1_summary,ln_f_attribution_pct,7,4.139450508001701,
D2_summary,r_block8,8,2.9405441284179688,
D2_summary,r_mean_blocks_2_7,-1,0.9250968098640442,
D2_summary,block8_ratio_vs_mean,8,3.1786339516727145,
D2_summary,block8_ratio_vs_max,8,2.825606724161473,
