lens,context,n,mean,median,MWU_p_vs_intron,cohens_d_vs_intron
UR-gDTR,coding_exon,5589,5.4372822419115545,5.411308288574219,0.0,-0.7772137969560052
UR-gDTR,intron,73982,6.083222712775912,5.901712536811829,,
UR-gDTR,5utr,113,5.360851330039775,5.378233194351196,1.2475664393847808e-18,-0.8506224853128271
UR-gDTR,3utr,1386,5.692129995743778,5.471878409385681,1.1721452677338735e-63,-0.4607012823643509
UR-gDTR,splice_donor_acceptor,880,5.468354440954599,5.448899745941162,1.5892882297528897e-96,-0.726169729986359
UR-gDTR,intergenic,45430,5.94854591979399,5.689104676246643,1.1359942091515865e-128,-0.15998435218638282
JSD-gDTR,coding_exon,5589,1.0,1.0,1.0,
JSD-gDTR,intron,73982,1.0,1.0,,
JSD-gDTR,5utr,113,1.0,1.0,1.0,
JSD-gDTR,3utr,1386,1.0,1.0,1.0,
JSD-gDTR,splice_donor_acceptor,880,1.0,1.0,1.0,
JSD-gDTR,intergenic,45430,1.0,1.0,1.0,
