lens,context,n,mean,ci95_low,ci95_high,median,std,MWU_p_vs_intron,MWU_U,rank_biserial_r_vs_intron,cohens_d_vs_intron,passes_gate_B_alpha
UR-gDTR,coding_exon,1179,5.321798648239699,5.296270368883325,5.346346823675234,5.330772638320923,0.43202295707479643,4.879535075407743e-224,4332980.0,-0.5560899302638956,-1.0178860277557533,True
UR-gDTR,intron,16558,6.168158375687005,6.155153194124219,6.181034319851513,6.215080738067627,0.8527761076316779,,,,,
UR-gDTR,5utr,142,5.500672532639033,5.4266308950286515,5.57926892778823,5.44481635093689,0.4835818022689117,5.750507280649549e-19,666685.0,-0.4329067775416845,-0.7849415467731555,True
UR-gDTR,3utr,1191,5.684829574988531,5.640562999233491,5.729868492071214,5.482034206390381,0.7649799519905925,2.713792375235667e-76,6703147.5,-0.3201875218870359,-0.5704897351834365,True
UR-gDTR,splice_donor_acceptor,400,5.390810084939003,5.343154346190393,5.441610885217786,5.369513750076294,0.4795928880762803,1.5212091471783493e-67,1631573.0,-0.5073157990095423,-0.9189366216207726,True
UR-gDTR,intergenic,930,5.280290279465337,5.247960749800487,5.309169220626354,5.2911505699157715,0.48816866765058997,4.399533121413071e-193,3258952.5,-0.576730281434956,-1.0602160676604866,True
JSD-gDTR,coding_exon,1179,1.0,1.0,1.0,1.0,0.0,1.0,9760941.0,-0.0,,False
JSD-gDTR,intron,16558,1.0,1.0,1.0,1.0,0.0,,,,,
JSD-gDTR,5utr,142,1.0,1.0,1.0,1.0,0.0,1.0,1175618.0,-0.0,,False
JSD-gDTR,3utr,1191,1.0,1.0,1.0,1.0,0.0,1.0,9860289.0,-0.0,,False
JSD-gDTR,splice_donor_acceptor,400,1.0,1.0,1.0,1.0,0.0,1.0,3311600.0,-0.0,,False
JSD-gDTR,intergenic,930,1.0,1.0,1.0,1.0,0.0,1.0,7699470.0,-0.0,,False
