lens,context,partial_spearman_rho,p_value
UR-gDTR,coding_exon,-0.14565125190739403,2.9693221482502094e-95
UR-gDTR,intron,0.2751148506142124,0.0
UR-gDTR,5utr,-0.0195486189172792,0.005697803794228612
UR-gDTR,3utr,-0.01627413672666561,0.021362310474510468
UR-gDTR,splice_donor_acceptor,-0.05935090428986938,4.4508899039174334e-17
UR-gDTR,intergenic,-0.11909057583963656,4.4179146002111066e-64
JSD-gDTR,coding_exon,0.6765689877616553,0.0
JSD-gDTR,intron,-0.4265272263760593,0.0
JSD-gDTR,5utr,0.8311791065600469,0.0
JSD-gDTR,3utr,-0.36420420284003124,0.0
JSD-gDTR,splice_donor_acceptor,0.7052376593013764,0.0
JSD-gDTR,intergenic,0.6263909861410603,0.0
