gamma_cos,rho,L_threshold_count,n_exon_positions,n_intron_positions,cohens_d_exon_vs_intron_c_interp,exon_gdtr_fraction,intron_gdtr_fraction,mean_abs_delta_c_interp_hotspots
0.05,0.5,4.0,1179,16558,-0.6295847032777112,1.0,1.0,0.005729770660400391
0.05,0.7,5.6,1179,16558,-0.6295847032777112,1.0,1.0,0.005729770660400391
0.05,0.85,6.8,1179,16558,-0.6295847032777112,1.0,1.0,0.005729770660400391
0.1,0.5,4.0,1179,16558,-0.6295843247671914,1.0,1.0,0.011459732055664062
0.1,0.7,5.6,1179,16558,-0.6295843247671914,1.0,1.0,0.011459732055664062
0.1,0.85,6.8,1179,16558,-0.6295843247671914,1.0,1.0,0.011459732055664062
0.2,0.5,4.0,1179,16558,-0.6299482317761788,1.0,1.0,0.022919654846191406
0.2,0.7,5.6,1179,16558,-0.6299482317761788,1.0,1.0,0.022919654846191406
0.2,0.85,6.8,1179,16558,-0.6299482317761788,1.0,1.0,0.022919654846191406
0.3,0.5,4.0,1179,16558,-0.6130486944107421,1.0,1.0,0.03437929153442383
0.3,0.7,5.6,1179,16558,-0.6130486944107421,1.0,1.0,0.03437929153442383
0.3,0.85,6.8,1179,16558,-0.6130486944107421,0.998303647158609,0.9919676289406933,0.03437929153442383
0.5,0.5,4.0,1179,16558,-1.026400456430725,0.993214588634436,0.998550549583283,0.3492581367492676
0.5,0.7,5.6,1179,16558,-1.026400456430725,0.26463104325699743,0.7002053388090349,0.3492581367492676
0.5,0.85,6.8,1179,16558,-1.026400456430725,0.020356234096692113,0.4009542215243387,0.3492581367492676
0.7,0.5,4.0,1179,16558,-0.6861235949243407,0.12128922815945717,0.46388452711680156,0.31983175277709963
0.7,0.7,5.6,1179,16558,-0.6861235949243407,0.0,0.19990336997221886,0.31983175277709963
0.7,0.85,6.8,1179,16558,-0.6861235949243407,0.0,0.013286628819905786,0.31983175277709963
