metric,layer,n_positions,successes,rate,ci95_low,ci95_high,binom_p_vs_0.70
M1,1,599500,264967,0.44197998331943283,0.44071551292743955,0.4432499582985821,1.0
M1,2,599500,274748,0.4582952460383653,0.4570257714762302,0.45957022518765633,1.0
M1,3,599500,307633,0.5131492910758966,0.5118693077564637,0.5144237698081735,1.0
M1,4,599500,339041,0.5655396163469558,0.5642713094245204,0.5668023769808174,1.0
M1,5,599500,348705,0.5816597164303586,0.5803980817347789,0.5829158048373645,1.0
M1,6,599500,331294,0.5526171809841535,0.5513455379482902,0.5538833194328607,1.0
M1,7,599500,268414,0.4477297748123436,0.44646363636363634,0.4490014178482068,1.0
M1,8,599500,599500,1.0,1.0,1.0,0.0
M2,1,599500,599500,1.0,1.0,1.0,0.0
M2,2,599500,338748,0.5650508757297749,0.5637825688073395,0.5663136363636364,1.0
M2,3,599500,506553,0.8449591326105088,0.8440177648040033,0.8458766055045872,0.0
M2,4,599500,445195,0.7426105087572977,0.7414722268557131,0.7437214762301918,0.0
M2,5,599500,379708,0.6333744787322769,0.6321412427022519,0.634602210175146,1.0
M2,6,599500,379086,0.6323369474562135,0.6311037114261885,0.6335646788990826,1.0
M2,7,599500,71643,0.11950458715596331,0.11868386155129275,0.1203474979149291,1.0
M2,8,599500,599500,1.0,1.0,1.0,0.0
