always_correct,late_converge,oscillate,never_converge,seq_idx,label,n_positions
346,1369,4280,0,0,gc_matched,5995
216,1605,4174,0,1,gc_matched,5995
225,1656,4114,0,2,gc_matched,5995
210,1490,4295,0,3,gc_matched,5995
242,1379,4374,0,4,gc_matched,5995
217,1472,4306,0,5,gc_matched,5995
415,1164,4416,0,6,gc_matched,5995
771,1000,4224,0,7,gc_matched,5995
273,1252,4470,0,8,gc_matched,5995
881,969,4145,0,9,gc_matched,5995
247,1503,4245,0,10,gc_matched,5995
675,970,4350,0,11,gc_matched,5995
193,1505,4297,0,12,gc_matched,5995
297,1342,4356,0,13,gc_matched,5995
506,1065,4424,0,14,gc_matched,5995
180,1532,4283,0,15,gc_matched,5995
370,1181,4444,0,16,gc_matched,5995
204,1648,4143,0,17,gc_matched,5995
223,1685,4087,0,18,gc_matched,5995
399,1199,4397,0,19,gc_matched,5995
574,1098,4323,0,20,gc_matched,5995
410,1195,4390,0,21,gc_matched,5995
393,1143,4459,0,22,gc_matched,5995
282,1375,4338,0,23,gc_matched,5995
344,1161,4490,0,24,gc_matched,5995
287,1241,4467,0,25,gc_matched,5995
248,1358,4389,0,26,gc_matched,5995
485,1036,4474,0,27,gc_matched,5995
736,1015,4244,0,28,gc_matched,5995
236,1595,4164,0,29,gc_matched,5995
582,1103,4310,0,30,gc_matched,5995
542,1129,4324,0,31,gc_matched,5995
246,1317,4432,0,32,gc_matched,5995
323,1303,4369,0,33,gc_matched,5995
250,1695,4050,0,34,gc_matched,5995
365,1296,4334,0,35,gc_matched,5995
366,1311,4318,0,36,gc_matched,5995
193,1436,4366,0,37,gc_matched,5995
264,1358,4373,0,38,gc_matched,5995
296,1702,3997,0,39,gc_matched,5995
198,1594,4203,0,40,gc_matched,5995
209,1417,4369,0,41,gc_matched,5995
248,1690,4057,0,42,gc_matched,5995
292,1310,4393,0,43,gc_matched,5995
223,1415,4357,0,44,gc_matched,5995
334,1350,4311,0,45,gc_matched,5995
216,1643,4136,0,46,gc_matched,5995
632,1015,4348,0,47,gc_matched,5995
514,1060,4421,0,48,gc_matched,5995
460,1127,4408,0,49,gc_matched,5995
276,1059,4660,0,50,dinuc_shuffle,5995
439,1072,4484,0,51,dinuc_shuffle,5995
408,1094,4493,0,52,dinuc_shuffle,5995
201,1385,4409,0,53,dinuc_shuffle,5995
147,1879,3969,0,54,dinuc_shuffle,5995
183,1424,4388,0,55,dinuc_shuffle,5995
229,1265,4501,0,56,dinuc_shuffle,5995
157,1854,3984,0,57,dinuc_shuffle,5995
365,927,4703,0,58,dinuc_shuffle,5995
224,1233,4538,0,59,dinuc_shuffle,5995
389,1007,4599,0,60,dinuc_shuffle,5995
430,1075,4490,0,61,dinuc_shuffle,5995
876,751,4368,0,62,dinuc_shuffle,5995
1047,768,4180,0,63,dinuc_shuffle,5995
212,1374,4409,0,64,dinuc_shuffle,5995
253,1189,4553,0,65,dinuc_shuffle,5995
341,1222,4432,0,66,dinuc_shuffle,5995
161,1482,4352,0,67,dinuc_shuffle,5995
417,1005,4573,0,68,dinuc_shuffle,5995
402,1073,4520,0,69,dinuc_shuffle,5995
130,1569,4296,0,70,dinuc_shuffle,5995
146,1720,4129,0,71,dinuc_shuffle,5995
227,1460,4308,0,72,dinuc_shuffle,5995
162,1596,4237,0,73,dinuc_shuffle,5995
156,1955,3884,0,74,dinuc_shuffle,5995
420,956,4619,0,75,dinuc_shuffle,5995
794,861,4340,0,76,dinuc_shuffle,5995
620,1017,4358,0,77,dinuc_shuffle,5995
283,1276,4436,0,78,dinuc_shuffle,5995
399,1139,4457,0,79,dinuc_shuffle,5995
206,1988,3801,0,80,dinuc_shuffle,5995
316,2001,3678,0,81,dinuc_shuffle,5995
285,1662,4048,0,82,dinuc_shuffle,5995
182,1772,4041,0,83,dinuc_shuffle,5995
152,1369,4474,0,84,dinuc_shuffle,5995
976,1178,3841,0,85,dinuc_shuffle,5995
403,1217,4375,0,86,dinuc_shuffle,5995
317,1132,4546,0,87,dinuc_shuffle,5995
107,1796,4092,0,88,dinuc_shuffle,5995
191,1419,4385,0,89,dinuc_shuffle,5995
339,1011,4645,0,90,dinuc_shuffle,5995
342,1556,4097,0,91,dinuc_shuffle,5995
163,1770,4062,0,92,dinuc_shuffle,5995
388,1720,3887,0,93,dinuc_shuffle,5995
247,1403,4345,0,94,dinuc_shuffle,5995
104,1721,4170,0,95,dinuc_shuffle,5995
410,1028,4557,0,96,dinuc_shuffle,5995
142,1710,4143,0,97,dinuc_shuffle,5995
204,1695,4096,0,98,dinuc_shuffle,5995
280,1287,4428,0,99,dinuc_shuffle,5995
