lens,layer,cv_scheme,auroc_mean,ci_low,ci_high,n_train,n_test
jsd,0,stratified_10fold,0.6045096696046667,0.5920344254060419,0.6172143720155413,7207,801
jsd,0,logo,0.5949620580123992,0.5827301336823388,0.608061366234133,7474,533
jsd,1,stratified_10fold,0.48551688576624963,0.47295284623738826,0.4985335013564056,7207,801
jsd,1,logo,0.39192931155203437,0.3790470928296002,0.4046361676563934,7474,533
jsd,2,stratified_10fold,0.5065242071052166,0.49388507162946405,0.5190642142111787,7207,801
jsd,2,logo,0.47772041508997676,0.4648976031720114,0.4903815873967473,7474,533
jsd,3,stratified_10fold,0.5128413371733548,0.49966205651837886,0.5253828440441397,7207,801
jsd,3,logo,0.4261253069180611,0.41246842448651205,0.43889022012767726,7474,533
jsd,4,stratified_10fold,0.48121076499159116,0.4677244709240621,0.494209162796179,7207,801
jsd,4,logo,0.4172564080566923,0.40474389125471244,0.43125162204850026,7474,533
jsd,5,stratified_10fold,0.5463364651523537,0.5335644256265013,0.5594872610029255,7207,801
jsd,5,logo,0.48354923058434524,0.47085472101829046,0.4963217727277761,7474,533
jsd,6,stratified_10fold,0.6187741259028239,0.6055928125687604,0.6311492659522313,7207,801
jsd,6,logo,0.6073501239125949,0.5946973315305183,0.6204545397361034,7474,533
jsd,7,stratified_10fold,0.6615409320638178,0.6490988158040575,0.6738596623648445,7207,801
jsd,7,logo,0.653703243008073,0.641288718192304,0.666348027611596,7474,533
jsd,8,stratified_10fold,0.5945802295929948,0.5814959367154411,0.6071139139734228,7207,801
jsd,8,logo,0.5796645623703678,0.5676306825121787,0.5921674434874226,7474,533
jsd,9,stratified_10fold,0.5161783028276101,0.503383012269684,0.5280515168050149,7207,801
jsd,9,logo,0.45920702831077986,0.4454930198250411,0.4721026626859882,7474,533
jsd,10,stratified_10fold,0.6532087522014642,0.6412103202652568,0.6660440906901602,7207,801
jsd,10,logo,0.6461825739775594,0.6347027826370801,0.6587811302811931,7474,533
jsd,11,stratified_10fold,0.6813032338332863,0.6689085803013238,0.6937963296495442,7207,801
jsd,11,logo,0.6763906086722046,0.6651626545922508,0.6884146856320297,7474,533
jsd,12,stratified_10fold,0.6556135611265987,0.6434052084370273,0.6683565403310151,7207,801
jsd,12,logo,0.648554704051515,0.6369147289926355,0.6610354086775636,7474,533
jsd,13,stratified_10fold,0.7086131352783145,0.6966953462107169,0.7209405658558593,7207,801
jsd,13,logo,0.7022271851833084,0.6903486771493023,0.7143814565507651,7474,533
jsd,14,stratified_10fold,0.7236576968129089,0.7118730509907405,0.735606051078554,7207,801
jsd,14,logo,0.7168703603957172,0.7053187578100871,0.7289692869505162,7474,533
jsd,15,stratified_10fold,0.7041378002830992,0.6922725252044244,0.7160015479260964,7207,801
jsd,15,logo,0.6975964129882304,0.6857942743679369,0.7096255299560572,7474,533
jsd,16,stratified_10fold,0.6758047677092587,0.6636732884418671,0.6886010822409677,7207,801
jsd,16,logo,0.6673026210713581,0.6550057115130204,0.679005489195303,7474,533
jsd,17,stratified_10fold,0.7234677891713904,0.7113104384286163,0.7349328141832698,7207,801
jsd,17,logo,0.7162293975827478,0.7043213573133323,0.7279435846091279,7474,533
jsd,18,stratified_10fold,0.7381009283087401,0.7262956928456114,0.7496028062687377,7207,801
jsd,18,logo,0.7310928876705173,0.7191691429554673,0.7429663717571185,7474,533
jsd,19,stratified_10fold,0.7307050532716671,0.7191610809358144,0.7418793233403941,7207,801
jsd,19,logo,0.7230559535552896,0.71161687829285,0.7348420090838873,7474,533
jsd,20,stratified_10fold,0.7296491799746193,0.7181671388461608,0.7412615443260838,7207,801
jsd,20,logo,0.7223041926748516,0.710665201417203,0.7340377531467857,7474,533
jsd,21,stratified_10fold,0.7322918094240009,0.7205694024194721,0.744089501233388,7207,801
jsd,21,logo,0.7256556650766616,0.7137892451139264,0.7377054202272257,7474,533
jsd,22,stratified_10fold,0.7114726540629124,0.6989990172649979,0.7238512301339735,7207,801
jsd,22,logo,0.7037649420633979,0.692246985565178,0.7158868651569421,7474,533
jsd,23,stratified_10fold,0.700052406642735,0.6880689699692709,0.7123505445666942,7207,801
jsd,23,logo,0.6926141534210374,0.6810707041640881,0.704702281473591,7474,533
jsd,24,stratified_10fold,0.6845864309649291,0.6718456638616801,0.697548793939506,7207,801
jsd,24,logo,0.6784470983990033,0.6655061690276012,0.6908093801910425,7474,533
jsd,25,stratified_10fold,0.6960243185891916,0.6833335489873695,0.7089935887583515,7207,801
jsd,25,logo,0.6894731784484084,0.6770006024533217,0.7015456358747011,7474,533
jsd,26,stratified_10fold,0.5677615062408997,0.5533237139220882,0.581569547953878,7207,801
jsd,26,logo,0.5524087832260366,0.53857665452787,0.5653796187270201,7474,533
jsd,27,stratified_10fold,0.5358754429868233,0.5223053224952694,0.5493861505111207,7207,801
jsd,27,logo,0.5267083807775912,0.5132422747795804,0.5408940282378055,7474,533
jsd,28,stratified_10fold,0.565378077857078,0.5524134796779253,0.5787986355877913,7207,801
jsd,28,logo,0.5609044073409468,0.5473213594409108,0.5746067648534191,7474,533
jsd,29,stratified_10fold,0.7940251665210957,0.7827769951017777,0.8051493023872198,7207,801
jsd,29,logo,0.7903876759035345,0.7791481063708878,0.801250997932999,7474,533
jsd,30,stratified_10fold,0.5117070412962814,0.4986630553739742,0.5249525792481877,7207,801
jsd,30,logo,0.4693613482293039,0.4564232521971711,0.4821608950290408,7474,533
jsd,31,stratified_10fold,0.4994869963057657,0.48831554931215404,0.5110520088936874,7207,801
jsd,31,logo,0.4366676619095788,0.4242315286326819,0.4483974263047782,7474,533
cos,0,stratified_10fold,0.5190793268373954,0.5058685698762048,0.53096067310678,7207,801
cos,0,logo,0.44874755909446273,0.43483489702291794,0.462276644300908,7474,533
cos,1,stratified_10fold,0.5561652064662675,0.5435014635470666,0.5682462427285317,7207,801
cos,1,logo,0.5526925673281147,0.5391037394193576,0.5661219591656708,7474,533
cos,2,stratified_10fold,0.5872252769252827,0.5737678973545695,0.5999376155839216,7207,801
cos,2,logo,0.5843432334088966,0.5706682891700018,0.5971101948267568,7474,533
cos,3,stratified_10fold,0.5938360911749492,0.5822402531330818,0.6057579429749044,7207,801
cos,3,logo,0.5955811240464411,0.5824406885235718,0.6077171555772843,7474,533
cos,4,stratified_10fold,0.552813338428648,0.5388974993113417,0.5651013219335753,7207,801
cos,4,logo,0.547938467928082,0.5342766602495888,0.5612450346838417,7474,533
cos,5,stratified_10fold,0.5147450723340148,0.5017033598407271,0.528332476826803,7207,801
cos,5,logo,0.49871680644052996,0.48619356336995767,0.5120106012583097,7474,533
cos,6,stratified_10fold,0.4622043086071514,0.44828298675049827,0.47479906877125294,7207,801
cos,6,logo,0.3811829597822027,0.3686850254228621,0.3938439831641032,7474,533
cos,7,stratified_10fold,0.5952661103213099,0.5822383479515525,0.6086176814434193,7207,801
cos,7,logo,0.5779085983028202,0.5654370288197772,0.5912949649881813,7474,533
cos,8,stratified_10fold,0.5273890109443621,0.514673988912417,0.5407722003036939,7207,801
cos,8,logo,0.4664640545320925,0.4536181588275108,0.47935295129362,7474,533
cos,9,stratified_10fold,0.5093127199362646,0.4964141517635439,0.5229737179775771,7207,801
cos,9,logo,0.4527452935179638,0.4389322341893217,0.46567699647473976,7474,533
cos,10,stratified_10fold,0.5723234945361921,0.5590861937508015,0.5854219013748253,7207,801
cos,10,logo,0.5630002248426329,0.5500213760758867,0.5764019707285424,7474,533
cos,11,stratified_10fold,0.5968260872050765,0.5843277064982645,0.6099739547246298,7207,801
cos,11,logo,0.5891877863557227,0.5765560923093129,0.6029913014886235,7474,533
cos,12,stratified_10fold,0.5545793560181935,0.5424190597657741,0.5680244551633095,7207,801
cos,12,logo,0.5391318988349938,0.5266144044887235,0.5528374806883071,7474,533
cos,13,stratified_10fold,0.6150560559875132,0.6027611834875517,0.6283287026861016,7207,801
cos,13,logo,0.6075572044991723,0.5947825832742764,0.6205998160498919,7474,533
cos,14,stratified_10fold,0.642639277378337,0.6302670151455065,0.655798999959112,7207,801
cos,14,logo,0.6362228258151065,0.6223866137388528,0.6499847659097567,7474,533
