stratum_type,stratum,n_total,n_FN,n_FP,fn_rate,fp_rate
gene,APC,700,68,40,0.19428571428571428,0.11428571428571428
gene,ATM,700,92,29,0.26285714285714284,0.08285714285714285
gene,BRAF,230,5,16,0.07142857142857142,0.1
gene,BRCA1,700,142,44,0.4057142857142857,0.12571428571428572
gene,BRCA2,700,90,24,0.2571428571428571,0.06857142857142857
gene,EGFR,350,0,18,0.0,0.05142857142857143
gene,KRAS,92,8,9,0.23529411764705882,0.15517241379310345
gene,MLH1,700,125,40,0.35714285714285715,0.11428571428571428
gene,MSH2,700,77,36,0.22,0.10285714285714286
gene,PALB2,628,118,21,0.4244604316546763,0.06
gene,PIK3CA,231,6,20,0.13333333333333333,0.10752688172043011
gene,PTEN,691,57,58,0.16715542521994134,0.1657142857142857
gene,RB1,538,68,30,0.3617021276595745,0.08571428571428572
gene,TP53,666,81,33,0.2563291139240506,0.09428571428571429
gene,VHL,382,40,15,0.28169014084507044,0.0625
variant_type,SNV_transition,4679,417,252,0.2862045298558682,0.0782122905027933
variant_type,SNV_transversion,3329,560,181,0.2722411278561011,0.14229559748427673
variant_type_fine,trans_A_G,2278,263,92,0.35113484646194926,0.060170045781556575
variant_type_fine,trans_C_T,2401,154,160,0.2175141242937853,0.09450679267572357
variant_type_fine,transversion,3329,560,181,0.2722411278561011,0.14229559748427673
cadd_disagreement,agree,4326,38,43,0.026188835286009647,0.014956521739130434
cadd_disagreement,disagree,3682,939,390,0.4551623848763936,0.24088943792464484
score_quintile,Q1_0-20,1602,312,0,1.0,0.0
score_quintile,Q2_20-40,1601,233,0,1.0,0.0
score_quintile,Q3_40-60,1602,336,0,1.0,0.0
score_quintile,Q4_60-80,1601,96,373,0.08799266727772685,0.7313725490196078
score_quintile,Q5_80-100,1602,0,60,0.0,1.0
