gene_id,gene_name,n_pos,mean_c,median_c,rank
ENSG00000234409.7,CCDC188,2640,22.993749618530273,19.0,1
ENSG00000128383.14,APOBEC3A,10444,23.71466827392578,25.0,2
ENSG00000159496.15,RGL4,11041,23.71999740600586,23.5,3
ENSG00000100425.19,BRD1,54591,24.609834671020508,31.0,4
ENSG00000128185.10,DGCR6L,5843,24.655912399291992,31.0,5
ENSG00000188636.4,RTL6,5651,24.73579978942871,31.0,6
ENSG00000170638.10,TRABD,13686,24.74086570739746,31.0,7
ENSG00000100033.17,PRODH,23777,24.80308723449707,31.0,8
ENSG00000099901.18,RANBP1,11418,24.917016983032227,31.0,9
ENSG00000189269.13,DRICH1,23870,24.943946838378906,25.5,10
ENSG00000100075.10,SLC25A1,3159,25.128679275512695,31.0,11
ENSG00000169314.15,C22orf15,2874,25.2082462310791,31.0,12
ENSG00000100316.16,RPL3,7508,25.215103149414062,31.0,13
ENSG00000185386.15,MAPK11,7055,25.230192184448242,31.0,14
ENSG00000179750.16,APOBEC3B,10458,25.276391983032227,31.0,15
ENSG00000196576.16,PLXNB2,32668,25.309921264648438,31.0,16
ENSG00000205643.11,CDPF1,6301,25.355260848999023,31.0,17
ENSG00000133422.14,MORC2,43645,25.50383758544922,31.0,18
ENSG00000099889.14,ARVCF,46928,25.52039337158203,31.0,19
ENSG00000183628.14,DGCR6,8211,25.543052673339844,31.0,20
ENSG00000205593.12,DENND6B,17983,25.666879653930664,31.0,21
ENSG00000099904.16,ZDHHC8,18552,25.674591064453125,31.0,22
ENSG00000178026.13,LRRC75B,7589,25.69475555419922,31.0,23
ENSG00000205560.13,CPT1B,9605,25.70884895324707,31.0,24
ENSG00000100312.11,ACR,7144,25.71283531188965,31.0,25
ENSG00000184470.21,TXNRD2,66304,25.725875854492188,31.0,26
ENSG00000040608.14,RTN4R,41832,25.730947494506836,31.0,27
ENSG00000219438.9,TAFA5,361360,25.73728370666504,31.0,28
ENSG00000239282.8,CASTOR1,4506,25.74234390258789,31.0,29
ENSG00000248751.6,ENSG00000248751,14245,25.744892120361328,31.0,30
ENSG00000099974.8,DDTL,5669,25.751367568969727,31.0,31
ENSG00000100056.12,ESS2,14406,25.758955001831055,31.0,32
ENSG00000100219.17,XBP1,6043,25.799354553222656,31.0,33
ENSG00000100253.13,MIOX,3865,25.807891845703125,31.0,34
ENSG00000128266.9,GNAZ,54514,25.81922149658203,31.0,35
ENSG00000100104.13,SRRD,10782,25.824615478515625,31.0,36
ENSG00000188130.14,MAPK12,16267,25.826059341430664,31.0,37
ENSG00000128271.22,ADORA2A,24479,25.87119483947754,31.0,38
ENSG00000274252.1,GGTLC3,1818,25.896039962768555,31.0,39
ENSG00000075240.17,GRAMD4,103779,25.947763442993164,31.0,40
ENSG00000100345.23,MYH9,106731,25.950000762939453,31.0,41
ENSG00000250479.9,CHCHD10,2139,25.97311782836914,31.0,42
ENSG00000243156.9,MICAL3,236913,25.97426414489746,31.0,43
ENSG00000254413.8,CHKB-CPT1B,14097,26.011882781982422,31.0,44
ENSG00000239713.9,APOBEC3G,10677,26.012924194335938,31.0,45
ENSG00000100427.16,MLC1,26036,26.03689193725586,31.0,46
ENSG00000128245.15,YWHAH,13082,26.056528091430664,31.0,47
ENSG00000180957.19,PITPNB,68466,26.09026336669922,31.0,48
ENSG00000189306.11,RRP7A,11453,26.09390640258789,31.0,49
ENSG00000161179.14,YDJC,1976,26.109312057495117,31.0,50
ENSG00000099949.22,LZTR1,16764,26.110116958618164,31.0,51
ENSG00000099994.11,SUSD2,7620,26.11771583557129,31.0,52
ENSG00000185608.9,MRPL40,3531,26.12616729736328,31.0,53
ENSG00000073150.14,PANX2,9565,26.13058090209961,31.0,54
ENSG00000133433.11,GSTT2B,3782,26.13471794128418,31.0,55
ENSG00000253352.10,TUG1,10151,26.16338348388672,31.0,56
ENSG00000188263.11,IL17REL,20955,26.17089080810547,31.0,57
ENSG00000100360.15,IFT27,18055,26.170949935913086,31.0,58
ENSG00000100105.18,PATZ1,20543,26.17154312133789,31.0,59
ENSG00000100304.13,TTLL12,20513,26.213254928588867,31.0,60
ENSG00000276950.6,GSTT4,7053,26.217992782592773,31.0,61
ENSG00000243811.12,APOBEC3D,12165,26.236251831054688,31.0,62
ENSG00000186716.21,BCR,138334,26.24407196044922,31.0,63
ENSG00000100429.18,HDAC10,6223,26.250843048095703,31.0,64
ENSG00000184436.12,THAP7,3093,26.269479751586914,31.0,65
ENSG00000183597.16,TANGO2,50151,26.295677185058594,31.0,66
ENSG00000184164.15,CRELD2,9374,26.299551010131836,31.0,67
ENSG00000205856.4,C22orf42,10317,26.314044952392578,31.0,68
ENSG00000198062.16,POTEH,31606,26.359567642211914,31.0,69
